Parameters,Algorithms,Value
SVM,Precision,95.55941845764855
SVM,Recall,90.44612794612794
SVM,F1 Score,92.67858467472738
SVM,Accuracy,95.0354609929078
SVM,Sensitivity,99.07407407407408
SVM,Specificity,81.81818181818183
KNN,Precision,82.80936454849498
KNN,Recall,77.52525252525253
KNN,F1 Score,79.6382153986471
KNN,Accuracy,86.52482269503547
KNN,Sensitivity,94.44444444444444
KNN,Specificity,60.60606060606061
Naive Bayes,Precision,93.96825396825396
Naive Bayes,Recall,96.63299663299662
Naive Bayes,F1 Score,95.2031026740151
Naive Bayes,Accuracy,96.45390070921985
Naive Bayes,Sensitivity,96.29629629629629
Naive Bayes,Specificity,96.96969696969697
Logistic Regression,Precision,91.70258620689656
Logistic Regression,Recall,88.00505050505049
Logistic Regression,F1 Score,89.66275659824048
Logistic Regression,Accuracy,92.90780141843972
Logistic Regression,Sensitivity,97.22222222222221
Logistic Regression,Specificity,78.78787878787878
ANN,Precision,92.10317460317461
ANN,Recall,94.65488215488216
ANN,F1 Score,93.28434374362115
ANN,Accuracy,95.0354609929078
ANN,Sensitivity,95.37037037037037
ANN,Specificity,93.93939393939394
CNN,Precision,100.0
CNN,Recall,100.0
CNN,F1 Score,100.0
CNN,Accuracy,100.0
CNN,Sensitivity,100.0
CNN,Specificity,100.0
